,id,country_name,Indicator_Name,YR_2008,YR_2009,YR_2010,YR_2011,YR_2012,YR_2013,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018
0,1,Aruba,GDP (current US$),2745251397.0,2498882682.0,2390502793.0,2549720670.0,2534636872.0,2581564246.0,2649720670.0,2691620112.0,2646927374.0,2700558659.0,
1,2,Afghanistan,GDP (current US$),10109218068.0,12439087077.0,15856574731.0,17804280538.0,20001615789.0,20561054090.0,20484873230.0,19907111419.0,19362642267.0,20191764940.0,19362969582.0
2,3,Angola,GDP (current US$),88538611205.0,70307163678.0,83799496611.0,112000000000.0,128000000000.0,137000000000.0,146000000000.0,116000000000.0,101000000000.0,122000000000.0,106000000000.0
3,4,Albania,GDP (current US$),12881353985.0,12044223458.0,11926962835.0,12890867536.0,12319784701.0,12776277649.0,13228244336.0,11386927679.0,11861353752.0,13025064967.0,15102500898.0
4,5,Andorra,GDP (current US$),4007353157.0,3660530703.0,3355695364.0,3442062830.0,3164615187.0,3281585236.0,3350736367.0,2811489409.0,2877311947.0,3013387424.0,3236543909.0
5,6,Arab World,GDP (current US$),2080000000000.0,1800000000000.0,2110000000000.0,2500000000000.0,2790000000000.0,2870000000000.0,2910000000000.0,2560000000000.0,2510000000000.0,2590000000000.0,2770000000000.0
6,7,United Arab Emirates,GDP (current US$),315000000000.0,254000000000.0,290000000000.0,351000000000.0,375000000000.0,390000000000.0,403000000000.0,358000000000.0,357000000000.0,378000000000.0,414000000000.0
7,8,Argentina,GDP (current US$),362000000000.0,333000000000.0,424000000000.0,530000000000.0,546000000000.0,552000000000.0,526000000000.0,595000000000.0,558000000000.0,643000000000.0,520000000000.0
8,9,Armenia,GDP (current US$),11662040714.0,8647936748.0,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11527458566.0,12433089919.0
9,10,American Samoa,GDP (current US$),563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,642000000.0,661000000.0,652000000.0,602000000.0,636000000.0
